Tile ID,Name,Material,Size (cm),Color,Finish,Price ($)
250,Concrete Sandstone,Marble,15x90,Gray,Glossy,40.95
251,Limestone Classic,Porcelain,80x80,Brown,Brushed,45.6
252,Marble Blue,Marble,15x90,White,Textured,54.11
253,Granite Green,Marble,40x40,Black,Matte,32.1
254,Sandstone Green,Mosaic,15x90,Blue,Satin,35.02
255,Granite Mosaic,Slate,75x75,Red,Brushed,45.41
256,Ceramic Ocean,Ceramic,80x80,Blue,Brushed,49.07
257,Ceramic Slate,Sandstone,25x25,Gold,Brushed,53.46
258,Marble Elegance,Granite,45x45,Green,Antique,81.3
259,Concrete Sandstone,Slate,45x45,Black,Matte,75.18
260,Granite Granite,Granite,30x30,Green,Satin,55.46
261,Ceramic Plank,Porcelain,60x60,Red,Rough,42.65
262,Concrete Midnight,Marble,45x45,Beige,Satin,86.43
263,Sandstone Ocean,Porcelain,80x80,Walnut,Satin,51.54
264,Marble Midnight,Marble,45x45,Blue,Brushed,64.39
265,Mosaic Concrete,Sandstone,30x30,Gray,Matte,34.35
266,Marble Slate,Terracotta,20x20,White,Glossy,24.82
267,Slate Mosaic,Marble,30x30,Green,Glossy,83.21
268,Concrete Black,Terracotta,50x50,Gray,Satin,87.38
269,Mosaic Desert,Marble,25x25,White,Brushed,34.24
270,Mosaic Blue,Slate,80x80,Brown,Textured,74.82
271,Ceramic Concrete,Slate,20x20,Blue,Brushed,88.06
272,Marble Urban,Slate,75x75,White,Glossy,56.61
273,Marble Green,Limestone,50x50,Green,Brushed,95.24
274,Limestone Classic,Terracotta,45x45,White,Matte,61.67
275,Marble Mosaic,Terracotta,50x50,White,Matte,62.12
276,Slate Granite,Concrete,20x20,Black,Polished,96.46
277,Concrete Granite,Porcelain,15x90,Gray,Glossy,78.11
278,Slate Concrete,Porcelain,60x60,Blue,Rough,77.06
279,Granite Black,Granite,30x30,Gray,Antique,89.33
280,Porcelain Mosaic,Limestone,40x40,Gray,Glossy,88.18
281,Terracotta Slate,Ceramic,80x80,Brown,Textured,25.28
282,Granite Classic,Slate,45x45,Red,Polished,53.86
283,Mosaic Blue,Concrete,50x50,Green,Antique,56.48
284,Porcelain Midnight,Concrete,60x60,Green,Matte,75.2
285,Sandstone Midnight,Slate,15x90,Gold,Antique,76.46
286,Slate Marble,Slate,45x45,Green,Satin,81.59
287,Ceramic Slate,Limestone,15x90,White,Brushed,51.2
288,Limestone Plank,Slate,20x20,Black,Textured,29.83
289,Limestone Golden,Terracotta,80x80,Beige,Brushed,39.81
290,Limestone Green,Slate,80x80,Walnut,Satin,80.11
291,Granite Golden,Concrete,75x75,Walnut,Glossy,60.17
292,Slate White,Granite,45x45,Beige,Brushed,94.19
293,Terracotta Rustic,Slate,75x75,Green,Rough,20.61
294,Porcelain Midnight,Mosaic,15x90,Black,Antique,68.53
295,Sandstone Granite,Concrete,15x90,Beige,Rough,84.36
296,Granite Forest,Limestone,60x60,Red,Rough,78.29
297,Porcelain Rustic,Mosaic,30x30,White,Glossy,61.38
298,Sandstone Plank,Limestone,45x45,Beige,Polished,43.56
299,Marble Midnight,Porcelain,15x90,Gray,Rough,79.39
300,Granite Elegance,Slate,80x80,Gold,Matte,49.5
301,Slate Classic,Marble,45x45,Brown,Matte,81.44
302,Terracotta Sandstone,Marble,75x75,Blue,Glossy,56.75
303,Slate Concrete,Limestone,40x40,Gray,Rough,59.85
304,Slate Black,Limestone,75x75,Walnut,Antique,52.83
305,Concrete Green,Concrete,20x20,Beige,Antique,67.89
306,Porcelain Desert,Sandstone,75x75,Brown,Matte,77.99
307,Mosaic Slate,Sandstone,45x45,Black,Matte,34.99
308,Sandstone Classic,Granite,25x25,Green,Textured,70.35
309,Granite Midnight,Limestone,15x90,Red,Brushed,84.41
310,Concrete Black,Porcelain,60x60,Blue,Glossy,62.41
311,Concrete Desert,Concrete,25x25,Gold,Brushed,72.62
312,Marble Concrete,Limestone,75x75,White,Polished,46.54
313,Slate Black,Porcelain,20x20,Gray,Antique,79.22
314,Terracotta Concrete,Granite,15x90,Walnut,Glossy,63.42
315,Granite Golden,Marble,80x80,Gray,Rough,95.52
316,Slate Mosaic,Granite,45x45,Blue,Matte,22.64
317,Sandstone Sandstone,Slate,40x40,Green,Matte,20.94
318,Porcelain White,Concrete,45x45,White,Glossy,83.44
319,Ceramic Forest,Terracotta,75x75,Gray,Rough,26.92
320,Mosaic Black,Concrete,40x40,White,Rough,21.27
321,Ceramic Mosaic,Marble,40x40,Beige,Glossy,88.45
322,Granite Blue,Limestone,25x25,Green,Textured,45.6
323,Sandstone Classic,Concrete,25x25,Blue,Polished,89.39
324,Sandstone Black,Porcelain,80x80,Black,Textured,30.09
325,Ceramic Rustic,Ceramic,75x75,Red,Glossy,48.91
326,Terracotta White,Mosaic,75x75,Gray,Brushed,75.85
327,Sandstone White,Slate,75x75,Blue,Satin,24.34
328,Ceramic Marble,Granite,60x60,Gold,Satin,82.09
329,Mosaic Concrete,Mosaic,40x40,Gold,Antique,29.51
330,Terracotta Golden,Granite,20x20,Gray,Satin,89.95
331,Mosaic Elegance,Mosaic,25x25,Walnut,Brushed,63.66
332,Terracotta Sandstone,Limestone,15x90,Beige,Textured,86.46
333,Mosaic Marble,Porcelain,25x25,Brown,Textured,39.89
334,Mosaic White,Concrete,45x45,Walnut,Antique,83.78
335,Granite Ocean,Slate,40x40,Gold,Rough,70.18
336,Marble Urban,Ceramic,20x20,Brown,Polished,70.43
337,Sandstone Plank,Sandstone,25x25,Green,Rough,86.98
338,Sandstone Forest,Mosaic,60x60,Beige,Brushed,28.38
339,Ceramic Marble,Marble,30x30,Gold,Glossy,83.99
340,Ceramic Slate,Concrete,80x80,White,Antique,41.02
341,Sandstone Marble,Porcelain,25x25,Gray,Rough,94.5
342,Sandstone Black,Ceramic,40x40,Walnut,Antique,89.99
343,Limestone White,Concrete,80x80,White,Satin,76.81
344,Limestone Plank,Terracotta,80x80,Walnut,Rough,55.56
345,Granite White,Concrete,30x30,Walnut,Rough,42.02
346,Ceramic Black,Limestone,20x20,Beige,Satin,70.34
347,Sandstone Slate,Ceramic,45x45,Gold,Rough,75.82
348,Marble Blue,Marble,40x40,Brown,Glossy,98.57
349,Ceramic Marble,Marble,60x60,Black,Antique,78.59
350,Mosaic Green,Concrete,25x25,White,Brushed,44.8
351,Terracotta Plank,Marble,25x25,Gray,Satin,51.88
352,Terracotta Black,Marble,75x75,Red,Polished,79.68
353,Granite Slate,Mosaic,60x60,Gold,Polished,33.92
354,Porcelain Desert,Terracotta,20x20,Brown,Textured,49.69
355,Limestone Classic,Granite,40x40,Green,Satin,65.43
356,Marble Slate,Concrete,60x60,Blue,Brushed,39.07
357,Ceramic Midnight,Mosaic,20x20,Blue,Antique,72.93
358,Ceramic Granite,Porcelain,15x90,Brown,Satin,57.43
359,Mosaic Midnight,Porcelain,50x50,Beige,Matte,20.13
360,Mosaic Sandstone,Terracotta,40x40,Brown,Matte,22.43
361,Terracotta Desert,Terracotta,15x90,Black,Textured,75.61
362,Ceramic Sandstone,Marble,75x75,Beige,Polished,79.46
363,Mosaic Golden,Ceramic,30x30,Beige,Rough,21.82
364,Granite White,Concrete,25x25,Blue,Brushed,77.04
365,Marble Golden,Ceramic,25x25,Gray,Matte,35.04
366,Concrete Concrete,Terracotta,15x90,Walnut,Matte,28.21
367,Mosaic Sandstone,Sandstone,40x40,Black,Satin,87.12
368,Concrete Concrete,Limestone,80x80,Blue,Brushed,89.47
369,Mosaic White,Sandstone,75x75,Beige,Glossy,79.85
370,Marble Rustic,Concrete,40x40,Walnut,Antique,60.44
371,Granite Midnight,Mosaic,80x80,White,Satin,68.85
372,Sandstone Rustic,Mosaic,75x75,Walnut,Antique,38.27
373,Sandstone Rustic,Terracotta,80x80,Walnut,Textured,56.76
374,Limestone White,Ceramic,25x25,Blue,Matte,72.19
375,Terracotta Classic,Sandstone,60x60,Green,Matte,81.21
376,Marble Sandstone,Ceramic,60x60,Gold,Satin,57.55
377,Marble Sandstone,Mosaic,60x60,Black,Matte,45.08
378,Slate Blue,Limestone,20x20,Walnut,Antique,36.87
379,Concrete Green,Terracotta,20x20,Black,Textured,82.95
380,Sandstone Rustic,Slate,75x75,Blue,Textured,67.04
381,Terracotta Concrete,Sandstone,45x45,Brown,Satin,56.32
382,Ceramic Granite,Granite,60x60,Gold,Antique,58.56
383,Slate Marble,Concrete,75x75,Beige,Rough,25.55
384,Marble Granite,Terracotta,40x40,Walnut,Satin,75.8
385,Concrete Sandstone,Porcelain,45x45,Brown,Satin,90.45
386,Marble Midnight,Terracotta,40x40,Gray,Brushed,37.75
387,Mosaic Rustic,Limestone,45x45,Red,Rough,94.2
388,Concrete Urban,Granite,25x25,Beige,Antique,95.74
389,Limestone Concrete,Terracotta,80x80,Black,Rough,92.81
390,Terracotta Golden,Marble,80x80,Blue,Rough,59.77
391,Mosaic Green,Ceramic,45x45,Blue,Polished,90.7
392,Marble Forest,Concrete,45x45,White,Textured,41.78
393,Slate Sandstone,Granite,75x75,Gray,Textured,39.96
394,Terracotta Concrete,Marble,50x50,Green,Brushed,70.58
395,Mosaic Golden,Slate,50x50,Gold,Polished,93.23
396,Marble Granite,Mosaic,15x90,Walnut,Glossy,83.7
397,Ceramic Granite,Granite,80x80,Green,Brushed,40.91
398,Porcelain Black,Terracotta,45x45,Gold,Antique,22.61
399,Ceramic Blue,Mosaic,45x45,White,Matte,69.05
400,Limestone Plank,Ceramic,15x90,Red,Brushed,30.96
401,Limestone Plank,Granite,80x80,Red,Polished,24.49
402,Mosaic Granite,Ceramic,30x30,Brown,Brushed,34.37
403,Porcelain Golden,Mosaic,30x30,Walnut,Textured,70.8
404,Mosaic Sandstone,Ceramic,75x75,Gray,Antique,22.91
405,Terracotta Mosaic,Ceramic,45x45,Gray,Satin,24.81
406,Concrete Classic,Porcelain,45x45,Gray,Textured,48.0
407,Sandstone Urban,Mosaic,20x20,Gray,Polished,61.81
408,Slate Slate,Mosaic,25x25,Gold,Textured,65.45
409,Slate Forest,Slate,25x25,Green,Satin,52.38
410,Granite Mosaic,Marble,80x80,Blue,Antique,24.85
411,Sandstone Rustic,Slate,50x50,Black,Textured,33.11
412,Sandstone Golden,Granite,60x60,Blue,Antique,30.87
413,Porcelain Desert,Sandstone,80x80,Black,Textured,35.7
414,Slate Granite,Ceramic,80x80,White,Antique,35.04
415,Porcelain Green,Porcelain,20x20,Green,Textured,81.58
416,Concrete Sandstone,Limestone,20x20,Brown,Antique,55.25
417,Limestone Forest,Marble,80x80,Walnut,Rough,31.01
418,Mosaic Plank,Mosaic,80x80,Gray,Textured,54.34
419,Granite Mosaic,Granite,30x30,Black,Rough,42.3
420,Concrete Desert,Granite,75x75,Gray,Satin,29.08
421,Marble Forest,Marble,15x90,Blue,Brushed,42.42
422,Slate Elegance,Terracotta,50x50,Blue,Glossy,57.41
423,Sandstone Marble,Limestone,15x90,Walnut,Satin,98.02
424,Sandstone Slate,Mosaic,75x75,Gray,Brushed,89.03
425,Marble Blue,Concrete,50x50,Blue,Rough,51.12
426,Ceramic Golden,Marble,25x25,Red,Textured,91.3
427,Marble Concrete,Concrete,30x30,Blue,Satin,46.95
428,Sandstone Mosaic,Limestone,75x75,Blue,Matte,90.61
429,Limestone Slate,Ceramic,40x40,Black,Polished,71.7
430,Porcelain Granite,Porcelain,40x40,Red,Matte,33.21
431,Granite Marble,Ceramic,15x90,Red,Polished,20.59
432,Ceramic Green,Limestone,80x80,Green,Antique,78.86
433,Sandstone Desert,Porcelain,30x30,Walnut,Rough,86.72
434,Granite Blue,Limestone,15x90,Gold,Antique,54.07
435,Terracotta Concrete,Limestone,75x75,Gold,Rough,68.11
436,Porcelain Mosaic,Slate,15x90,Walnut,Brushed,42.93
437,Terracotta Golden,Marble,25x25,Gold,Antique,81.25
438,Slate White,Concrete,60x60,Blue,Antique,90.53
439,Terracotta Plank,Limestone,50x50,Gray,Polished,47.42
440,Concrete Concrete,Mosaic,60x60,Gold,Matte,85.52
441,Slate Black,Mosaic,40x40,Blue,Satin,92.49
442,Marble Rustic,Concrete,20x20,Green,Antique,63.54
443,Limestone Blue,Sandstone,60x60,Beige,Polished,35.45
444,Limestone Forest,Ceramic,50x50,Walnut,Glossy,62.73
445,Porcelain Urban,Limestone,60x60,Red,Polished,78.97
446,Mosaic Golden,Granite,20x20,Red,Brushed,22.19
447,Porcelain Sandstone,Mosaic,45x45,Walnut,Textured,47.29
448,Sandstone Elegance,Limestone,20x20,Blue,Satin,59.23
449,Porcelain Ocean,Slate,20x20,Black,Satin,54.96
450,Limestone Black,Granite,25x25,Brown,Satin,50.17
451,Ceramic Sandstone,Granite,25x25,Blue,Textured,87.45
452,Sandstone Elegance,Mosaic,45x45,Gray,Textured,53.99
453,Porcelain Desert,Sandstone,75x75,Gray,Glossy,25.37
454,Granite Black,Concrete,60x60,Gray,Satin,81.93
455,Granite Black,Limestone,80x80,Black,Antique,34.18
456,Porcelain Marble,Mosaic,75x75,Red,Antique,44.25
457,Concrete Marble,Ceramic,40x40,Beige,Brushed,97.93
458,Granite Black,Porcelain,40x40,Red,Matte,23.33
459,Mosaic Green,Sandstone,80x80,Beige,Matte,21.1
460,Slate Marble,Concrete,45x45,Blue,Brushed,83.41
461,Concrete Rustic,Limestone,45x45,Blue,Rough,74.51
462,Granite Desert,Limestone,50x50,Gray,Satin,69.83
463,Sandstone Green,Slate,30x30,Beige,Matte,52.44
464,Mosaic Mosaic,Porcelain,25x25,Brown,Polished,35.34
465,Mosaic Concrete,Limestone,45x45,Beige,Matte,74.31
466,Granite Elegance,Limestone,30x30,Gray,Matte,64.31
467,Ceramic Rustic,Ceramic,50x50,Green,Glossy,46.22
468,Slate Midnight,Ceramic,50x50,Gold,Brushed,83.01
469,Terracotta Classic,Terracotta,25x25,Red,Polished,30.18
470,Ceramic Black,Slate,40x40,Gold,Brushed,78.05
471,Marble Blue,Concrete,50x50,Beige,Glossy,74.55
472,Limestone Ocean,Sandstone,60x60,Green,Brushed,62.56
473,Limestone Slate,Marble,15x90,Green,Polished,62.2
474,Ceramic Ocean,Concrete,75x75,Red,Brushed,27.95
475,Terracotta White,Porcelain,80x80,Gold,Brushed,22.68
476,Granite Blue,Slate,50x50,Gold,Glossy,74.91
477,Limestone Concrete,Slate,20x20,Beige,Brushed,21.86
478,Terracotta Green,Concrete,60x60,Gray,Glossy,58.89
479,Terracotta Slate,Mosaic,25x25,Beige,Rough,60.72
480,Terracotta Forest,Granite,60x60,White,Brushed,44.5
481,Porcelain Golden,Ceramic,80x80,Brown,Brushed,30.66
482,Sandstone Classic,Mosaic,80x80,Blue,Textured,75.76
483,Limestone Slate,Slate,60x60,Beige,Satin,34.48
484,Ceramic Ocean,Ceramic,75x75,Walnut,Rough,50.61
485,Ceramic Slate,Porcelain,40x40,Brown,Textured,35.57
486,Sandstone Sandstone,Concrete,75x75,Gray,Polished,25.16
487,Terracotta Golden,Concrete,25x25,White,Antique,48.04
488,Concrete Mosaic,Marble,30x30,Walnut,Rough,36.66
489,Marble Sandstone,Sandstone,45x45,Walnut,Matte,55.96
490,Limestone Mosaic,Granite,30x30,Walnut,Satin,20.97
491,Marble Urban,Terracotta,30x30,Beige,Satin,61.76
492,Slate Green,Porcelain,45x45,Brown,Matte,26.69
493,Terracotta Slate,Limestone,30x30,White,Textured,77.93
494,Ceramic Rustic,Slate,50x50,Blue,Satin,23.95
495,Marble Classic,Mosaic,80x80,Beige,Satin,57.04
496,Terracotta Midnight,Sandstone,75x75,Red,Antique,36.51
497,Ceramic Mosaic,Marble,80x80,Walnut,Polished,71.77
498,Concrete Sandstone,Slate,40x40,Beige,Brushed,60.38
499,Mosaic Forest,Mosaic,40x40,Black,Satin,86.0
500,Granite Black,Ceramic,60x60,White,Textured,32.76
